nome,nota,setor
ActionSys,"4,0",Tecnologia da informação
Auth0,"4,5",Tecnologia da informação
Contec,"4,1",Tecnologia da informação
Muchmore Digital,"4,2",Tecnologia da informação
CAST Group,"4,0",Tecnologia da informação
Esfera (Brazil),"4,8",Tecnologia da informação
Chegg,"4,0",Tecnologia da informação
Edge UOL,"4,3",Tecnologia da informação
ScrumLaunch,"4,7",Tecnologia da informação
Quicko,"4,2",Tecnologia da informação
Mailbiz,"4,3",Tecnologia da informação
4MK Solutions,"4,6",Tecnologia da informação
Working Minds,"4,2",Tecnologia da informação
DTEL Telecom,"4,0",Tecnologia da informação
BrowserStack,"4,4",Tecnologia da informação
Applications Software Technology,"4,0",Tecnologia da informação
Upstack,"4,7",Tecnologia da informação
Liberty IT,"4,2",Tecnologia da informação
Maxima Consulting,"4,1",Tecnologia da informação
Logical IT,"4,0",Tecnologia da informação
Constellation,"4,1",Tecnologia da informação
Arcor,"4,3",Tecnologia da informação
Bitly,"4,0",Tecnologia da informação
Atom6 Design,"4,2",Tecnologia da informação
Abrigo,"4,0",Tecnologia da informação
Artycs,"4,7",Tecnologia da informação
Leankeep,"4,1",Tecnologia da informação
FF SOLUTIONS,"4,0",Tecnologia da informação
IPM,"4,2",Tecnologia da informação
Kaspper,"4,3",Tecnologia da informação
Murex,"4,4",Tecnologia da informação
Swapcard,"4,5",Tecnologia da informação
bol,"4,1",Tecnologia da informação
Telluria Tecnologia,"4,1",Tecnologia da informação
Parsons Corporation,"4,0",Tecnologia da informação
Netshow.me,"4,0",Tecnologia da informação
Availity,"4,2",Tecnologia da informação
Nobel,"4,8",Tecnologia da informação
Cittati,"4,2",Tecnologia da informação
GW Cloud,"4,2",Tecnologia da informação
Vector Group,"4,3",Tecnologia da informação
Ahoy By Belago Group,"4,3",Tecnologia da informação
Ahoy By Belago Group,"4,3",Tecnologia da informação
RHITMO Tech,"4,3",Tecnologia da informação
VarejOnline,"4,4",Tecnologia da informação
PLSS Soluções,"4,1",Tecnologia da informação
GestãoDS,"4,0",Tecnologia da informação
SharpSpring,"4,0",Tecnologia da informação
Alparservice,"4,8",Tecnologia da informação
Minds,"4,2",Tecnologia da informação
HCSS,"4,0",Tecnologia da informação
Fivestars,"4,0",Tecnologia da informação
Symphony,"4,0",Tecnologia da informação
Faiston,"4,2",Tecnologia da informação
Phenom,"4,0",Tecnologia da informação
Nextiva,"4,0",Tecnologia da informação
TDS (Brazil),"4,1",Tecnologia da informação
Nuveo,"4,2",Tecnologia da informação
Uniware,"4,4",Tecnologia da informação
Kaltura,"4,1",Tecnologia da informação
Instituto Ambiental e Tecnológico da Amazônia (IATECAM),"4,2",Tecnologia da informação
Kroton Tech,"4,1",Tecnologia da informação
GoCo.io,"4,3",Tecnologia da informação
Minds at Work,"4,3",Tecnologia da informação
Tenerity India,"4,0",Tecnologia da informação
AlgoSec,"4,3",Tecnologia da informação
Sellbie,"4,3",Tecnologia da informação
Spotlar Tecnologia,"4,8",Tecnologia da informação
TOPi,"4,3",Tecnologia da informação
Stibo Systems,"4,0",Tecnologia da informação
QueroDelivery,"4,4",Tecnologia da informação
Alecrim,"4,8",Tecnologia da informação
Narwal Sistemas,"4,3",Tecnologia da informação
SMART Technologies,"4,2",Tecnologia da informação
Null Corporation,"4,2",Tecnologia da informação
Instituto Reconcavo de Tecnologia,"4,0",Tecnologia da informação
Kaseya,"4,2",Tecnologia da informação
iDinheiro,"4,8",Tecnologia da informação
Startaideia,"4,2",Tecnologia da informação
Bahwan CyberTek,"4,0",Tecnologia da informação
Brillio,"4,0",Tecnologia da informação
Avanxo,"4,0",Tecnologia da informação
Inclusion Cloud,"4,3",Tecnologia da informação
Rebase,"4,0",Tecnologia da informação
Tempo,"4,0",Tecnologia da informação
ISI Emerging Markets Group,"4,1",Tecnologia da informação
FADEL,"4,3",Tecnologia da informação
Rapido,"4,2",Tecnologia da informação
Alianza,"4,2",Tecnologia da informação
BMB,"4,0",Tecnologia da informação
Fluid API,"5,0",Tecnologia da informação
Vectra Consultoria e Serviços,"4,5",Tecnologia da informação
Virtus Tech Tecnologia e Serviços,"4,3",Tecnologia da informação
Férias & Co,"4,4",Tecnologia da informação
CodeClouds,"4,4",Tecnologia da informação
Monuv,"4,5",Tecnologia da informação
Close,"4,9",Tecnologia da informação
Talentify.io,"4,2",Tecnologia da informação
Trinus Corporation,"4,5",Tecnologia da informação
Verzel,"4,2",Tecnologia da informação
NeoDocto,"4,8",Tecnologia da informação
Iris Software,"4,0",Tecnologia da informação
Lighthouse,"4,3",Tecnologia da informação
International Systems Technologies,"4,0",Tecnologia da informação
Amazon Informática,"4,1",Tecnologia da informação
Brainweb,"4,6",Tecnologia da informação
Lexos,"4,1",Tecnologia da informação
Checkplant,"4,6",Tecnologia da informação
Plan A Technologies,"4,3",Tecnologia da informação
TS Shara,"4,3",Tecnologia da informação
Online Check Writer,"4,7",Tecnologia da informação
Muni Tienda,"4,1",Tecnologia da informação
Layers Education,"4,6",Tecnologia da informação
Cademí,"4,9",Tecnologia da informação
Mind Source,"4,2",Tecnologia da informação
WorkMarket,"4,1",Tecnologia da informação
Automatech,"4,6",Tecnologia da informação
Fuerza Studio,"4,4",Tecnologia da informação
Pragma,"4,5",Tecnologia da informação
IDeaS - A SAS Company,"4,1",Tecnologia da informação
Birdeye,"4,2",Tecnologia da informação
Pentalog,"4,1",Tecnologia da informação
Kairos Technologies,"4,2",Tecnologia da informação
LIMA Networks,"4,0",Tecnologia da informação
Aquarius Software,"4,5",Tecnologia da informação
Menvie Software,"4,6",Tecnologia da informação
XCL,"4,8",Tecnologia da informação
Verisign,"4,2",Tecnologia da informação
Wa Project,"4,0",Tecnologia da informação
FindMe,"4,2",Tecnologia da informação
Perinity,"4,3",Tecnologia da informação
SPS Commerce,"4,0",Tecnologia da informação
CARFAX,"4,0",Tecnologia da informação
Birdie (CA),"4,6",Tecnologia da informação
Rede Parcerias,"4,4",Tecnologia da informação
Dootax,"4,2",Tecnologia da informação
RG Sistemas,"4,0",Tecnologia da informação
Nodis,"4,0",Tecnologia da informação
PushStart,"4,3",Tecnologia da informação
AD Digital,"4,0",Tecnologia da informação
RedeHost,"4,1",Tecnologia da informação
PrintWayy,"4,5",Tecnologia da informação
Mindworks (Brazil),"4,3",Tecnologia da informação
Sitemate,"4,7",Tecnologia da informação
WhatsApp,"4,1",Tecnologia da informação
WeDo Tecnologia,"4,0",Tecnologia da informação
Novatics Tecnologia,"4,4",Tecnologia da informação
Croct,"4,3",Tecnologia da informação
Harbinger Group,"4,2",Tecnologia da informação
Saipher ATC,"4,1",Tecnologia da informação
Limber Software,"4,0",Tecnologia da informação
"AGS, LLC","4,4",Tecnologia da informação
MaxProcess,"4,1",Tecnologia da informação
Equal Experts,"4,8",Tecnologia da informação
Howdy,"4,4",Tecnologia da informação
ImageX,"5,0",Tecnologia da informação
Wrike,"4,1",Tecnologia da informação
Virtasant,"4,4",Tecnologia da informação
Impinj,"4,2",Tecnologia da informação
JFrog,"4,1",Tecnologia da informação
DSP Group,"4,1",Tecnologia da informação
Focco Informática,"4,1",Tecnologia da informação
Ateliê de Software Webgoal,"4,2",Tecnologia da informação
Vigil,"4,9",Tecnologia da informação
Oncase,"4,3",Tecnologia da informação
KCS IT,"4,2",Tecnologia da informação
APIPASS,"4,4",Tecnologia da informação
Deltek,"4,4",Tecnologia da informação
Innovid,"4,1",Tecnologia da informação
Ciberian,"4,5",Tecnologia da informação
Imap,"4,5",Tecnologia da informação
Sovis Sistemas,"4,3",Tecnologia da informação
"Proton, privacy by default","4,0",Tecnologia da informação
First Orion,"4,1",Tecnologia da informação
Taller Negócios Digitais,"4,7",Tecnologia da informação
Tecnoanjos,"4,5",Tecnologia da informação
Tarvos,"4,1",Tecnologia da informação
Kron Digital,"4,0",Tecnologia da informação
UpFlux,"4,0",Tecnologia da informação
FPT,"4,0",Tecnologia da informação
Manychat,"4,7",Tecnologia da informação
Incentivar,"4,1",Tecnologia da informação
Fantasy,"4,1",Tecnologia da informação
Fracttal,"4,5",Tecnologia da informação
Micro1,"4,5",Tecnologia da informação
AMLabs Ventures,"4,6",Tecnologia da informação
Blankfactor,"4,1",Tecnologia da informação
Codebit Programming Solutions,"4,6",Tecnologia da informação
Zartis,"4,8",Tecnologia da informação
MobLee,"4,4",Tecnologia da informação
UP Outsourcing,"5,0",Tecnologia da informação
RINA,"4,0",Tecnologia da informação
Redix (Brazil),"4,7",Tecnologia da informação
Intuitive Technology Partners,"4,4",Tecnologia da informação
Place Tecnologia e Inovação,"4,4",Tecnologia da informação
Team International,"4,2",Tecnologia da informação
Trip.com Group,"4,0",Tecnologia da informação
NetBrain Technologies,"4,2",Tecnologia da informação
EI Technologies,"4,0",Tecnologia da informação
Seequent,"4,0",Tecnologia da informação
Oystr,"4,4",Tecnologia da informação
Grupo ITSS,"4,5",Tecnologia da informação
Action Labs,"4,1",Tecnologia da informação
Unio,"4,3",Tecnologia da informação
Superplayer & Co.,"4,7",Tecnologia da informação
COMSOL,"4,0",Tecnologia da informação
TechnoMile,"4,2",Tecnologia da informação
TSP,"4,1",Tecnologia da informação
Astra International,"4,5",Tecnologia da informação
Mitgo,"4,3",Tecnologia da informação
Loka,"4,5",Tecnologia da informação
Opinion Box,"4,1",Tecnologia da informação
Next Fit,"4,4",Tecnologia da informação
"Nitor Infotech, an Ascendion company","4,4",Tecnologia da informação
Cloudtalk,"4,4",Tecnologia da informação
TO THE NEW,"4,0",Tecnologia da informação
embedUR systems,"4,0",Tecnologia da informação
MSys Technologies,"4,5",Tecnologia da informação
VK,"4,1",Tecnologia da informação
ECS Informática,"4,3",Tecnologia da informação
Leme Inteligência Forense,"4,2",Tecnologia da informação
4Yousee,"4,3",Tecnologia da informação
GoCache,"4,3",Tecnologia da informação
Ouvidor Digital,"4,6",Tecnologia da informação
inovex,"4,5",Tecnologia da informação
Alpha Net,"4,5",Tecnologia da informação
App Masters,"5,0",Tecnologia da informação
Integer Consulting,"4,1",Tecnologia da informação
Exago,"4,1",Tecnologia da informação
DeepX,"4,6",Tecnologia da informação
NetBiis,"4,0",Tecnologia da informação
Growth Acceleration Partners,"4,1",Tecnologia da informação
Softo Sistemas,"4,9",Tecnologia da informação
Juristec+,"4,2",Tecnologia da informação
Algolia,"4,2",Tecnologia da informação
Clever,"4,6",Tecnologia da informação
Forte Group,"4,2",Tecnologia da informação
Upstart 13,"4,5",Tecnologia da informação
Lead Forensics,"4,4",Tecnologia da informação
The Adaptavist Group,"4,4",Tecnologia da informação
Deskfy,"4,7",Tecnologia da informação
Percona,"4,3",Tecnologia da informação
Pixodust Games,"4,8",Tecnologia da informação
Edrone,"4,2",Tecnologia da informação
Amiltone,"4,1",Tecnologia da informação
A-Players,"5,0",Tecnologia da informação
Bending Spoons,"4,7",Tecnologia da informação
Data Meaning Services Group,"4,3",Tecnologia da informação
RateGain,"4,0",Tecnologia da informação
Hotjar,"4,0",Tecnologia da informação
Rydoo,"4,4",Tecnologia da informação
Nuvini,"4,5",Tecnologia da informação
SEA Tecnologia,"4,1",Tecnologia da informação
Econodata,"4,2",Tecnologia da informação
alfanar,"4,0",Tecnologia da informação
Soluevo,"4,7",Tecnologia da informação
BGC (Brazil),"4,9",Tecnologia da informação
RBA,"4,2",Tecnologia da informação
Infoblox,"4,5",Tecnologia da informação
Project A,"4,5",Tecnologia da informação
Eunerd,"4,3",Tecnologia da informação
BrainStorm,"4,1",Tecnologia da informação
Arena.im,"4,0",Tecnologia da informação
Xpert (Brazil),"4,5",Tecnologia da informação
FGS,"4,0",Tecnologia da informação
Visual Software,"4,3",Tecnologia da informação
Celebal Technologies,"4,0",Tecnologia da informação
DataAnnotation,"4,0",Tecnologia da informação
Talentbrand,"4,7",Tecnologia da informação
Hansen Technologies,"4,0",Tecnologia da informação
Ecx Card,"4,7",Tecnologia da informação
Sonatafy Technology,"4,4",Tecnologia da informação
Unicon,"4,0",Tecnologia da informação
CureMD,"4,2",Tecnologia da informação
Infopulse,"4,6",Tecnologia da informação
Ribon,"5,0",Tecnologia da informação
Zenefits,"4,0",Tecnologia da informação
Projetus Tecnologia da Informação,"4,3",Tecnologia da informação
bycoders_,"4,5",Tecnologia da informação
99x,"4,0",Tecnologia da informação
Aura,"4,1",Tecnologia da informação
L.L. Bean,"4,2",Tecnologia da informação
TBA,"4,1",Tecnologia da informação
Castor,"4,1",Tecnologia da informação
Guidance Experts,"4,4",Tecnologia da informação
eSolution Tecnologia,"4,3",Tecnologia da informação
Radware,"4,1",Tecnologia da informação
Lucid Software,"4,0",Tecnologia da informação
Ordergroove,"4,6",Tecnologia da informação
Infinity,"4,0",Tecnologia da informação
Builderall,"4,0",Tecnologia da informação
Brainn.co,"4,7",Tecnologia da informação
Parceiro Magalu,"4,4",Tecnologia da informação
Cloud Devs,"4,4",Tecnologia da informação
Couchbase,"4,1",Tecnologia da informação
Bússola do Investidor,"4,5",Tecnologia da informação
Upnid,"4,5",Tecnologia da informação
Traction Guest,"4,0",Tecnologia da informação
Aha!,"4,5",Tecnologia da informação
Hatch,"4,0",Tecnologia da informação
Squad Premium,"4,4",Tecnologia da informação
Duetto,"4,0",Tecnologia da informação
vidIQ,"4,7",Tecnologia da informação
Doity,"4,4",Tecnologia da informação
Grupo GBI,"4,5",Tecnologia da informação
Miles IT,"4,2",Tecnologia da informação
Mevo,"4,0",Tecnologia da informação
Sysvale Softgroup,"4,6",Tecnologia da informação
Serrala,"4,0",Tecnologia da informação
Gbm Tech & Control,"4,4",Tecnologia da informação
Skore,"4,7",Tecnologia da informação
iTech US,"4,1",Tecnologia da informação
Bringg,"4,0",Tecnologia da informação
Teamware Solutions,"4,4",Tecnologia da informação
DevMaker,"4,4",Tecnologia da informação
Alctel,"4,2",Tecnologia da informação
Fidelizii,"4,5",Tecnologia da informação
Mecatron,"4,0",Tecnologia da informação
Allegro,"4,1",Tecnologia da informação
Eze Software,"4,0",Tecnologia da informação
Wolf Aceleradora de Negócios,"4,7",Tecnologia da informação
BLING,"4,1",Tecnologia da informação
Moskit,"4,9",Tecnologia da informação
Atlas Tech,"4,6",Tecnologia da informação
Bring IT (NC),"4,0",Tecnologia da informação
Ansata Informática,"4,2",Tecnologia da informação
SelfMade,"4,1",Tecnologia da informação
Alan,"4,3",Tecnologia da informação
BITi9,"4,1",Tecnologia da informação
BPA Technologies,"4,1",Tecnologia da informação
Best.Projects,"4,1",Tecnologia da informação
Tremendous,"4,4",Tecnologia da informação
White Prompt,"4,4",Tecnologia da informação
Relevo (Brazil),"4,6",Tecnologia da informação
Indus Net Technologies,"4,1",Tecnologia da informação
Zipline Tecnologia,"4,0",Tecnologia da informação
OneLocal,"4,1",Tecnologia da informação
Five9,"4,0",Tecnologia da informação
Triple S,"4,0",Tecnologia da informação
Softonic,"4,5",Tecnologia da informação
Polibras Software,"4,3",Tecnologia da informação
Gainsight,"4,1",Tecnologia da informação
AppNexus,"4,0",Tecnologia da informação
Bridgenext,"4,0",Tecnologia da informação
Mollica IT,"4,5",Tecnologia da informação
Horsa,"4,0",Tecnologia da informação
Auditeste,"4,5",Tecnologia da informação
Auto Trader UK,"4,6",Tecnologia da informação
Pomeroy Technologies,"4,2",Tecnologia da informação
People Group,"4,2",Tecnologia da informação
ERT,"4,0",Tecnologia da informação
OpenTable,"4,0",Tecnologia da informação
Agape,"4,1",Tecnologia da informação
Jones Software,"4,1",Tecnologia da informação
Firework Web & Mobile,"4,8",Tecnologia da informação
DevSkin,"4,2",Tecnologia da informação
Quark Tecnologia e Inovação,"4,8",Tecnologia da informação
Maze,"4,8",Tecnologia da informação
Tupi Mobilidade,"4,3",Tecnologia da informação
ASC Solutions,"4,5",Tecnologia da informação
Docnix,"4,6",Tecnologia da informação
Atman Systems,"4,5",Tecnologia da informação
SmartMei,"4,2",Tecnologia da informação
Parallel Staff,"4,6",Tecnologia da informação
PMWeb,"4,1",Tecnologia da informação
Kilo.Health,"4,0",Tecnologia da informação
Dr.monitora,"4,4",Tecnologia da informação
Trimble MAPS,"4,1",Tecnologia da informação
Mixmax,"4,8",Tecnologia da informação
Digiage Technologies,"4,6",Tecnologia da informação
Plannera,"4,3",Tecnologia da informação
Awesome Motive,"4,3",Tecnologia da informação
SleekFlow,"4,5",Tecnologia da informação
NGR Global,"4,2",Tecnologia da informação
Esparta Tecnologia e Inovação,"4,4",Tecnologia da informação
AHEAD,"4,3",Tecnologia da informação
Aptus Tecnologia em Informação,"4,0",Tecnologia da informação
Bitz Softwares,"4,1",Tecnologia da informação
Codengage,"4,7",Tecnologia da informação
SVA Tech,"4,3",Tecnologia da informação
Solveplan,"4,0",Tecnologia da informação
CALIBRE Systems,"4,2",Tecnologia da informação
Rakuten Viki,"4,2",Tecnologia da informação
Xertica,"4,0",Tecnologia da informação
Claroty,"4,0",Tecnologia da informação
Fiscal.io,"4,2",Tecnologia da informação
Front,"4,4",Tecnologia da informação
6sense,"4,2",Tecnologia da informação
Imaginedone,"4,4",Tecnologia da informação
AMX,"4,1",Tecnologia da informação
Successive Technologies,"4,2",Tecnologia da informação
Make,"4,8",Tecnologia da informação
GlobalVision,"4,5",Tecnologia da informação
PIT Solutions,"4,1",Tecnologia da informação
Mannesoft,"4,2",Tecnologia da informação
Duo Security,"4,6",Tecnologia da informação
Alloy,"4,6",Tecnologia da informação
lola.com,"4,2",Tecnologia da informação
Pluga,"4,8",Tecnologia da informação
Advantage Financial Systems Experts,"4,1",Tecnologia da informação
MarineTraffic,"4,4",Tecnologia da informação
Recorded Future,"4,1",Tecnologia da informação
Nap IT,"4,4",Tecnologia da informação
CarDekho,"4,2",Tecnologia da informação
BuildOps,"4,1",Tecnologia da informação
Open Circle,"4,3",Tecnologia da informação
BRX Retail,"4,4",Tecnologia da informação
Neusoft,"4,4",Tecnologia da informação
Aloha,"4,1",Tecnologia da informação
Caveo Tecnologia,"4,2",Tecnologia da informação
EMIS Group,"4,0",Tecnologia da informação
Time Doctor,"4,5",Tecnologia da informação
Joom,"4,3",Tecnologia da informação
1STi Soluções em Tecnologia,"4,1",Tecnologia da informação
Simply (Brazil),"4,5",Tecnologia da informação
Conecta Nuvem,"4,6",Tecnologia da informação
Coditas,"4,1",Tecnologia da informação
Koombea,"4,5",Tecnologia da informação
"Groove, a Clari Company","4,4",Tecnologia da informação
Veryon,"4,1",Tecnologia da informação
Cox Enterprises,"4,4",Tecnologia da informação
Americas Trading Group,"4,6",Tecnologia da informação
Witec IT Solutions,"4,2",Tecnologia da informação
Berghem,"4,3",Tecnologia da informação
Pisomtech,"4,3",Tecnologia da informação
BCI Consulting,"4,6",Tecnologia da informação
Tbit Tecnologia & Sistemas,"4,1",Tecnologia da informação
Bubble,"4,0",Tecnologia da informação
Fortress Information Security,"4,2",Tecnologia da informação
Orbitz Worldwide,"4,1",Tecnologia da informação
NLB Services,"4,5",Tecnologia da informação
Elektrobit,"4,0",Tecnologia da informação
CyberArk,"4,0",Tecnologia da informação
Kinsta,"4,1",Tecnologia da informação
Tiqets,"4,2",Tecnologia da informação
Escala(Brazil),"4,2",Tecnologia da informação
Dialpad,"4,2",Tecnologia da informação
Radek Systems,"4,5",Tecnologia da informação
C2S Technologies,"4,1",Tecnologia da informação
Pramati Technologies,"4,3",Tecnologia da informação
VelocityEHS,"4,1",Tecnologia da informação
QuikDev,"4,0",Tecnologia da informação
LeCupon,"4,1",Tecnologia da informação
FireDev,"4,0",Tecnologia da informação
INEA,"4,1",Tecnologia da informação
Appsimples,"4,2",Tecnologia da informação
Kemp,"4,6",Tecnologia da informação
Lucid,"4,0",Tecnologia da informação
Extern,"4,6",Tecnologia da informação
HatchWorks,"4,4",Tecnologia da informação
Maxgen Technologies,"4,7",Tecnologia da informação
Toradex,"4,7",Tecnologia da informação
Soshace,"4,5",Tecnologia da informação
isolved,"4,0",Tecnologia da informação
Loja Virtual,"4,5",Tecnologia da informação
Apply Digital,"4,3",Tecnologia da informação
Happy Scribe,"4,7",Tecnologia da informação
Zipdev,"4,5",Tecnologia da informação
Lemon.io,"4,7",Tecnologia da informação
Logique Sistemas,"4,4",Tecnologia da informação
Magaya,"4,4",Tecnologia da informação
TQI,"4,6",Tecnologia da informação
Software Mind,"4,1",Tecnologia da informação
Versa Networks,"4,0",Tecnologia da informação
Umanni,"4,6",Tecnologia da informação
Trentim,"4,8",Tecnologia da informação
Chess ICT,"4,1",Tecnologia da informação
Protech Solutions (Brazil),"4,2",Tecnologia da informação
Lemontech (Brazil),"4,0",Tecnologia da informação
Hubstaff,"4,2",Tecnologia da informação
QUANTIQ Technology,"4,7",Tecnologia da informação
"Macrosoft, inc","4,5",Tecnologia da informação
Icon Solutions,"4,1",Tecnologia da informação
Moolya Software Testing,"4,2",Tecnologia da informação
Itlize Global,"4,4",Tecnologia da informação
LLamasoft,"4,2",Tecnologia da informação
Inova e-Business,"4,7",Tecnologia da informação
Simetrik,"4,4",Tecnologia da informação
Petronect,"4,2",Tecnologia da informação
ITWorx,"4,0",Tecnologia da informação
Nuvento,"4,0",Tecnologia da informação
Status,"4,6",Tecnologia da informação
Waystar,"4,1",Tecnologia da informação
Recro,"4,1",Tecnologia da informação
Ideais,"4,1",Tecnologia da informação
Flux IT,"4,2",Tecnologia da informação
wBrain,"5,0",Tecnologia da informação
Matilha Estudio,"4,4",Tecnologia da informação
Datatem,"4,6",Tecnologia da informação
Marco,"4,0",Tecnologia da informação
Evnts,"4,1",Tecnologia da informação
Tellus Solutions,"4,0",Tecnologia da informação
Springer Nature Technology and Publishing Solutions,"4,0",Tecnologia da informação
WATI,"4,5",Tecnologia da informação
Lufthansa Systems,"4,0",Tecnologia da informação
Implanta IT Solutions,"4,3",Tecnologia da informação
USEND,"4,5",Tecnologia da informação
Oto (Brazil),"4,1",Tecnologia da informação
Finxi,"4,4",Tecnologia da informação
Binamik,"4,8",Tecnologia da informação
Tray,"4,7",Tecnologia da informação
Assai Software Services,"4,3",Tecnologia da informação
Codus Tecnologia,"4,5",Tecnologia da informação
DigiCert,"4,0",Tecnologia da informação
Shopping.com,"4,0",Tecnologia da informação
Innuvem,"4,9",Tecnologia da informação
Condeco,"4,0",Tecnologia da informação
Innovate,"4,2",Tecnologia da informação
SND Solucoes em Tecnologia,"4,0",Tecnologia da informação
Devninjas I.T Solutions,"4,2",Tecnologia da informação
Badaró Design,"4,0",Tecnologia da informação
Teemwork.ai,"4,0",Tecnologia da informação
Cobalt,"4,2",Tecnologia da informação
Wise Fábrica de Software,"4,5",Tecnologia da informação
Integra Software Services,"4,2",Tecnologia da informação
Edmunds.com,"4,3",Tecnologia da informação
Riaktr,"4,0",Tecnologia da informação
Indecomm Global Services,"4,5",Tecnologia da informação
Nest,"4,2",Tecnologia da informação
Mercadapp,"4,5",Tecnologia da informação
DigitalNet,"4,3",Tecnologia da informação
JSS,"4,0",Tecnologia da informação
Jooble,"4,5",Tecnologia da informação
Moat Builders,"4,8",Tecnologia da informação
grupo arcca,"4,2",Tecnologia da informação
Klir,"4,3",Tecnologia da informação
Think Future Technologies,"4,3",Tecnologia da informação
Phoron do Brasil,"4,4",Tecnologia da informação
Aurigo Software Technologies,"4,6",Tecnologia da informação
SRM Technologies,"4,0",Tecnologia da informação
EQS Group,"4,1",Tecnologia da informação
Agro.Club,"4,2",Tecnologia da informação
Ahreas,"4,0",Tecnologia da informação
Federal Soft Systems,"4,1",Tecnologia da informação
Seta Digital Sistemas Gerenciais,"4,2",Tecnologia da informação
Druid Internet Systems,"4,5",Tecnologia da informação
DoiT,"4,3",Tecnologia da informação
wikiHow,"4,8",Tecnologia da informação
Sling Hub,"4,8",Tecnologia da informação
Digital Hub,"4,2",Tecnologia da informação
RGK4IT,"4,3",Tecnologia da informação
Zydon,"4,4",Tecnologia da informação
Macaw,"4,3",Tecnologia da informação
Beehome,"4,4",Tecnologia da informação
Golf Galaxy,"4,0",Tecnologia da informação
Vibra Digital,"4,4",Tecnologia da informação
Doximity,"4,2",Tecnologia da informação
Mycon,"4,0",Tecnologia da informação
GrowinCo.,"4,6",Tecnologia da informação
NIC,"4,1",Tecnologia da informação
TIS,"4,7",Tecnologia da informação
phData,"4,3",Tecnologia da informação
WebmaniaBR,"4,0",Tecnologia da informação
Skolar EdTech,"4,0",Tecnologia da informação
FamilySearch.org,"4,0",Tecnologia da informação
Devexperts,"4,5",Tecnologia da informação
Scopic Software,"4,6",Tecnologia da informação
Grupo Click IP,"4,1",Tecnologia da informação
Avanz,"4,5",Tecnologia da informação
OSSCube,"4,0",Tecnologia da informação
Muck Rack,"4,5",Tecnologia da informação
Naver,"4,2",Tecnologia da informação
Ibratan,"4,8",Tecnologia da informação
Koerich Lab,"4,6",Tecnologia da informação
Ravelin Technology,"4,9",Tecnologia da informação
Santex Group,"4,7",Tecnologia da informação
Bytes Technology Group,"4,1",Tecnologia da informação
HG Insights,"4,1",Tecnologia da informação
Attornatus Procuradoria Digital,"4,2",Tecnologia da informação
Kik,"4,1",Tecnologia da informação
Irdeto,"4,0",Tecnologia da informação
DoubleVerify,"4,1",Tecnologia da informação
Tintash,"4,2",Tecnologia da informação
Full Potential Solutions,"4,3",Tecnologia da informação
Comsysto Reply,"4,7",Tecnologia da informação
Sycomp,"4,2",Tecnologia da informação
Brad's Deals,"4,0",Tecnologia da informação
PageFreezer Software,"4,0",Tecnologia da informação
Cofomo,"4,0",Tecnologia da informação
Aviso,"4,5",Tecnologia da informação
Agiloft,"4,1",Tecnologia da informação
ezyCollect,"4,1",Tecnologia da informação
Odessa,"4,2",Tecnologia da informação
The Silicon Partners,"4,3",Tecnologia da informação
NEMO IT Solutions,"4,4",Tecnologia da informação
Owner.com,"4,8",Tecnologia da informação
Instart,"4,0",Tecnologia da informação
Terminal,"4,5",Tecnologia da informação
Behance,"4,8",Tecnologia da informação
Norus,"4,8",Tecnologia da informação
Sharp Electronics (US),"4,0",Tecnologia da informação
Hobsons,"4,1",Tecnologia da informação
Hyqoo,"4,2",Tecnologia da informação
Makro Group,"4,1",Tecnologia da informação
Rankme (Brazil),"4,9",Tecnologia da informação
Arbisoft,"4,5",Tecnologia da informação
Symphony Solutions,"4,3",Tecnologia da informação
Sprout Solutions,"4,1",Tecnologia da informação
Solve4Me,"4,6",Tecnologia da informação
Data System (Brazil),"4,3",Tecnologia da informação
On2,"4,1",Tecnologia da informação
Life360,"4,0",Tecnologia da informação
Piano,"4,2",Tecnologia da informação
ITI Data,"4,0",Tecnologia da informação
Cuidas,"4,7",Tecnologia da informação
VFR Sistemas,"4,3",Tecnologia da informação
PROSOFT,"4,1",Tecnologia da informação
Programmers.io,"4,2",Tecnologia da informação
Moveworks,"4,3",Tecnologia da informação
Index Exchange,"4,3",Tecnologia da informação
Basis Technology,"4,3",Tecnologia da informação
Vela Software,"4,2",Tecnologia da informação
SOU.cloud,"4,1",Tecnologia da informação
Kitestring Technical Services,"4,4",Tecnologia da informação
Smart IMS,"4,5",Tecnologia da informação
InnovationM,"4,7",Tecnologia da informação
Mozio,"4,4",Tecnologia da informação
ENA,"4,4",Tecnologia da informação
Perseus (Brazil),"4,5",Tecnologia da informação
Architech,"4,0",Tecnologia da informação
Accedian Networks,"4,1",Tecnologia da informação
LeanIX,"4,3",Tecnologia da informação
Impact Analytics,"4,0",Tecnologia da informação
Fivelabs,"4,5",Tecnologia da informação
DataFrete,"4,1",Tecnologia da informação
Hop (Brazil),"5,0",Tecnologia da informação
Partoo,"4,2",Tecnologia da informação
Nulogy,"4,4",Tecnologia da informação
Distribusion,"4,0",Tecnologia da informação
JDC Consultoria em Informática,"4,4",Tecnologia da informação
Thunders Tecnologia,"4,0",Tecnologia da informação
Tec2Cloud,"4,6",Tecnologia da informação
Easy B2B,"4,1",Tecnologia da informação
RCX IT Experts,"4,4",Tecnologia da informação
