nome,nota,setor
Nuvemshop,"4,2",Tecnologia da informação
Autodesk,"4,2",Tecnologia da informação
Neoway,"4,3",Tecnologia da informação
Squadra Digital,"4,3",Tecnologia da informação
Net Serviços de Comunicação,"4,2",Tecnologia da informação
Quero Educação,"4,0",Tecnologia da informação
CentralIT,"4,0",Tecnologia da informação
Criteo,"4,1",Tecnologia da informação
Embratel,"4,1",Tecnologia da informação
Genesys,"4,1",Tecnologia da informação
Atlântico,"4,4",Tecnologia da informação
Infor,"4,0",Tecnologia da informação
Serpro,"4,6",Tecnologia da informação
Siemens Digital Industries Software,"4,2",Tecnologia da informação
SiDi,"4,3",Tecnologia da informação
Dextra,"4,5",Tecnologia da informação
RecargaPay,"4,2",Tecnologia da informação
KPIT Technologies,"4,0",Tecnologia da informação
Glassdoor,"4,2",Tecnologia da informação
DBC,"4,4",Tecnologia da informação
AMcom Sistemas de Informação,"4,0",Tecnologia da informação
Catho Online,"4,2",Tecnologia da informação
DB,"4,4",Tecnologia da informação
Foursys Brasil,"4,1",Tecnologia da informação
Sistema Fiemg,"4,2",Tecnologia da informação
SOUTHSYSTEM,"4,8",Tecnologia da informação
Indeed,"4,0",Tecnologia da informação
Aliare,"4,2",Tecnologia da informação
ioasys,"4,1",Tecnologia da informação
Amadeus,"4,1",Tecnologia da informação
Deel,"4,6",Tecnologia da informação
E.life Group,"4,2",Tecnologia da informação
Basis Information Technology,"4,0",Tecnologia da informação
Spassu tecnologia,"4,0",Tecnologia da informação
G&P Projetos e Sistemas,"4,4",Tecnologia da informação
Méliuz,"4,5",Tecnologia da informação
Eduzz,"4,5",Tecnologia da informação
Airbnb,"4,3",Tecnologia da informação
ília (Brazil),"4,3",Tecnologia da informação
DocPlanner,"4,5",Tecnologia da informação
Juntos Somos Mais,"4,3",Tecnologia da informação
ESPN,"4,0",Tecnologia da informação
Umbrella Corporation,"4,2",Tecnologia da informação
Scala Data Centers,"4,2",Tecnologia da informação
Webmotors,"4,2",Tecnologia da informação
SysMap Solutions,"4,2",Tecnologia da informação
Google Cloud,"4,2",Tecnologia da informação
NEORIS,"4,0",Tecnologia da informação
BMC Software,"4,0",Tecnologia da informação
ISH Tecnologia,"4,3",Tecnologia da informação
Light,"4,0",Tecnologia da informação
ilegra,"4,4",Tecnologia da informação
FICO,"4,1",Tecnologia da informação
Gemalto,"4,2",Tecnologia da informação
Concrete Solutions,"4,3",Tecnologia da informação
GLOBO,"4,1",Tecnologia da informação
Nuance,"4,0",Tecnologia da informação
AMD,"4,0",Tecnologia da informação
Delivery Center,"4,4",Tecnologia da informação
Viva Rio,"4,3",Tecnologia da informação
Bemobi,"4,0",Tecnologia da informação
FINNET,"4,2",Tecnologia da informação
LogComex,"4,2",Tecnologia da informação
TaskUs,"4,2",Tecnologia da informação
FiTec,"4,3",Tecnologia da informação
Insider,"4,4",Tecnologia da informação
Yaman,"4,1",Tecnologia da informação
ContaAzul,"4,1",Tecnologia da informação
Cadmus,"4,1",Tecnologia da informação
Pitang Agile IT,"4,6",Tecnologia da informação
Trimble,"4,0",Tecnologia da informação
ITC Infotech,"4,1",Tecnologia da informação
Veritas Technologies,"4,0",Tecnologia da informação
Webjump,"4,1",Tecnologia da informação
Axur. Digital Risk Protection,"4,5",Tecnologia da informação
Governança Brasil (GOVBR),"4,3",Tecnologia da informação
ReclameAqui,"4,0",Tecnologia da informação
Queima Diária,"4,1",Tecnologia da informação
AVEVA,"4,0",Tecnologia da informação
BHS Soluções,"4,5",Tecnologia da informação
Hostinger International,"4,2",Tecnologia da informação
Dynatrace,"4,1",Tecnologia da informação
Raro Labs,"4,5",Tecnologia da informação
M4U,"4,3",Tecnologia da informação
Verity,"4,6",Tecnologia da informação
Pinterest,"4,0",Tecnologia da informação
TomTom,"4,0",Tecnologia da informação
Zoho,"4,3",Tecnologia da informação
Itautec,"4,3",Tecnologia da informação
IOB,"4,2",Tecnologia da informação
NTCONSULT,"4,4",Tecnologia da informação
FIT - Instituto de Tecnologia,"4,2",Tecnologia da informação
NeoAssist,"4,0",Tecnologia da informação
Movile,"4,4",Tecnologia da informação
AltoQi,"4,4",Tecnologia da informação
Spotify,"4,0",Tecnologia da informação
Programmer's - Beyond IT,"4,4",Tecnologia da informação
Datadog,"4,0",Tecnologia da informação
Akamai,"4,3",Tecnologia da informação
IFS,"4,2",Tecnologia da informação
Mercafácil,"4,2",Tecnologia da informação
HST Card Technology,"4,0",Tecnologia da informação
Cedro Technologies,"4,2",Tecnologia da informação
NeuroTech,"4,6",Tecnologia da informação
Platform Builders,"4,1",Tecnologia da informação
Ícaro Technologies,"4,6",Tecnologia da informação
Cigam Software Corporativo,"4,2",Tecnologia da informação
Pontomais,"4,0",Tecnologia da informação
CISS,"4,0",Tecnologia da informação
SAP Concur,"4,0",Tecnologia da informação
IPNET by Vivo,"4,3",Tecnologia da informação
"Alelo TLT, LLC.","4,2",Tecnologia da informação
UDS Tecnologia,"4,2",Tecnologia da informação
BlaBlaCar,"4,5",Tecnologia da informação
Tester Work,"4,4",Tecnologia da informação
Bluesoft,"4,4",Tecnologia da informação
Instituto das Cidades Inteligentes,"4,5",Tecnologia da informação
Syngenta Digital,"4,4",Tecnologia da informação
